Name,Pos,Group,Nationality,GP,TOI_GP,ES_TOI_GP,PP_TOI_GP,SH_TOI_GP,G_60,A_60,SOG_60,BLK_60,HIT_60,PP_PTS_60,ES_TOI_GP,PP_TOI_GP,SH_TOI_GP,PIM_GP,Fights,xGF_pct_5v5,ixG_60_5v5,Height_in,Weight_lbs,BMI,Cluster,Auto_Label
Adam Larsson,D,D,SWE,327.0,22.25632008154944,19.41539245667686,0.1206422018348623,2.7202854230377165,0.214,0.643,4.048,5.243,4.93,0.0,19.41539245667686,0.1206422018348623,2.7202854230377165,0.535,3,46.31,0.17,75.0,207.0,25.87,0,Defensive Defenseman
Adam Pelech,D,D,CAN,261.0,20.95338441890166,18.47190293742018,0.1184546615581098,2.3630268199233715,0.121,0.691,4.378,4.74,3.072,0.011,18.47190293742018,0.1184546615581098,2.3630268199233715,0.556,1,52.3,0.21,75.0,212.0,26.5,0,Defensive Defenseman
Albert Johansson,D,D,SWE,143.0,16.103962703962704,15.023193473193473,0.136013986013986,0.9447552447552447,0.156,0.365,2.84,4.586,3.283,0.0,15.023193473193473,0.136013986013986,0.9447552447552447,0.322,0,46.38,0.127,72.0,195.0,26.44,0,Defensive Defenseman
Alex Vlasic,D,D,USA,245.0,21.891768707483,18.587891156462582,0.7133333333333334,2.5905442176870745,0.089,0.671,2.953,4.844,1.667,0.157,18.587891156462582,0.7133333333333334,2.5905442176870745,0.302,4,43.45,0.116,78.0,217.0,25.07,0,Defensive Defenseman
Alexander Romanov,D,D,RUS,236.0,20.67422316384181,18.648234463276832,0.0492231638418078,1.976765536723164,0.16,0.639,4.107,6.099,6.554,0.0,18.648234463276832,0.0492231638418078,1.976765536723164,0.377,1,47.69,0.151,73.0,220.0,29.02,0,Defensive Defenseman
Alexandre Carrier,D,D,CAN,268.0,19.231902985074623,16.693097014925375,0.2289179104477611,2.3098880597014926,0.186,0.698,3.062,6.147,2.643,0.012,16.693097014925375,0.2289179104477611,2.3098880597014926,0.541,1,48.33,0.159,71.0,174.0,24.27,0,Defensive Defenseman
Andrew Peeke,D,D,USA,271.0,19.27736777367773,16.922386223862237,0.0426814268142681,2.31230012300123,0.149,0.471,3.319,6.156,5.49,0.0,16.922386223862237,0.0426814268142681,2.31230012300123,0.269,1,45.06,0.123,75.0,214.0,26.75,0,Defensive Defenseman
Artem Zub,D,D,RUS,259.0,20.67921492921493,18.1002574002574,0.108043758043758,2.470913770913771,0.168,0.706,3.081,4.783,4.414,0.011,18.1002574002574,0.108043758043758,2.470913770913771,0.625,2,54.39,0.131,75.0,201.0,25.12,0,Defensive Defenseman
Ben Chiarot,D,D,CAN,316.0,20.59889240506329,18.455221518987344,0.1847046413502109,1.9589662447257383,0.175,0.442,3.954,5.826,5.595,0.009,18.455221518987344,0.1847046413502109,1.9589662447257383,0.794,3,44.81,0.159,75.0,222.0,27.75,0,Defensive Defenseman
Braden Schneider,D,D,CAN,325.0,17.465538461538458,15.864051282051282,0.1172820512820512,1.4842051282051285,0.19,0.613,3.922,5.803,6.585,0.0,15.864051282051282,0.1172820512820512,1.4842051282051285,0.234,3,46.32,0.156,75.0,206.0,25.75,0,Defensive Defenseman
Brandon Carlo,D,D,USA,289.0,19.21349480968858,16.257727797001152,0.025836216839677,2.929930795847751,0.086,0.443,3.415,5.522,4.571,0.0,16.257727797001152,0.025836216839677,2.929930795847751,0.533,4,46.59,0.112,77.0,227.0,26.92,0,Defensive Defenseman
Brayden McNabb,D,D,CAN,309.0,19.89848975188781,17.702642934196334,0.0346817691477885,2.161165048543689,0.146,0.585,3.445,6.958,5.767,0.01,17.702642934196334,0.0346817691477885,2.161165048543689,0.472,3,53.56,0.165,76.0,215.0,26.17,0,Defensive Defenseman
Brett Kulak,D,D,CAN,329.0,18.077608915906787,16.5403748733536,0.120820668693009,1.4164133738601823,0.141,0.595,4.419,4.237,2.31,0.01,16.5403748733536,0.120820668693009,1.4164133738601823,0.386,2,52.2,0.165,73.0,192.0,25.33,0,Defensive Defenseman
Brett Pesce,D,D,USA,261.0,21.09329501915709,18.341890166028094,0.4240740740740741,2.327330779054917,0.131,0.599,4.305,4.806,1.057,0.044,18.341890166028094,0.4240740740740741,2.327330779054917,0.375,2,52.3,0.192,75.0,206.0,25.75,0,Defensive Defenseman
Brian Dumoulin,D,D,USA,324.0,18.71810699588477,16.682510288065842,0.0708847736625514,1.9647119341563788,0.119,0.673,2.78,4.145,3.017,0.0,16.682510288065842,0.0708847736625514,1.9647119341563788,0.222,0,48.42,0.133,76.0,215.0,26.17,0,Defensive Defenseman
Carson Soucy,D,D,CAN,269.0,16.959417596034697,15.121499380421314,0.1635068153655513,1.6744114002478316,0.184,0.434,3.406,4.695,5.629,0.026,15.121499380421314,0.1635068153655513,1.6744114002478316,0.61,2,46.03,0.154,76.0,211.0,25.68,0,Defensive Defenseman
Cody Ceci,D,D,CAN,326.0,19.708282208588955,17.174437627811862,0.0585889570552146,2.475255623721881,0.103,0.579,3.119,4.529,3.203,0.0,17.174437627811862,0.0585889570552146,2.475255623721881,0.239,0,47.79,0.13,75.0,210.0,26.25,0,Defensive Defenseman
Colton Parayko,D,D,CAN,302.0,23.161313465783664,20.41186534216336,0.4178256070640176,2.331622516556291,0.292,0.626,4.435,5.859,3.56,0.034,20.41186534216336,0.4178256070640176,2.331622516556291,0.278,2,48.23,0.219,78.0,228.0,26.35,0,Defensive Defenseman
Dante Fabbro,D,D,CAN,277.0,17.80968712394705,16.129963898916966,0.1215403128760529,1.5581829121540312,0.231,0.511,3.928,5.838,3.527,0.012,16.129963898916966,0.1215403128760529,1.5581829121540312,0.531,1,52.55,0.135,72.0,200.0,27.12,0,Defensive Defenseman
Dmitry Kulikov,D,D,RUS,232.0,18.305890804597706,15.907471264367814,0.05933908045977,2.339080459770115,0.113,0.579,3.348,3.942,5.326,0.014,15.907471264367814,0.05933908045977,2.339080459770115,0.625,0,52.75,0.169,73.0,212.0,27.97,0,Defensive Defenseman
Dylan DeMelo,D,D,CAN,321.0,21.070664589823465,18.592419522326065,0.0918483904465212,2.3863966770508824,0.133,0.719,2.892,4.098,4.781,0.009,18.592419522326065,0.0918483904465212,2.3863966770508824,0.511,0,52.53,0.108,73.0,194.0,25.59,0,Defensive Defenseman
Dylan Samberg,D,D,USA,267.0,18.20711610486892,15.921722846441948,0.0601123595505617,2.225280898876405,0.123,0.617,3.801,5.418,3.271,0.025,15.921722846441948,0.0601123595505617,2.225280898876405,0.404,2,52.02,0.133,76.0,216.0,26.29,0,Defensive Defenseman
Esa Lindell,D,D,FIN,326.0,21.41635991820041,17.494683026584866,0.2670756646216768,3.6546012269938646,0.206,0.722,3.541,5.655,2.08,0.026,17.494683026584866,0.2670756646216768,3.6546012269938646,0.172,0,53.12,0.166,75.0,217.0,27.12,0,Defensive Defenseman
Henri Jokiharju,D,D,FIN,235.0,18.971985815602835,17.520283687943262,0.3219148936170212,1.1297872340425532,0.148,0.633,3.526,3.418,3.122,0.027,17.520283687943262,0.3219148936170212,1.1297872340425532,0.349,0,47.7,0.122,72.0,205.0,27.8,0,Defensive Defenseman
Ian Cole,D,D,USA,320.0,19.127916666666668,16.234583333333333,0.0369791666666666,2.8563541666666667,0.088,0.578,2.921,6.381,3.715,0.0,16.234583333333333,0.0369791666666666,2.8563541666666667,0.778,7,53.13,0.14,73.0,237.0,31.26,0,Defensive Defenseman
Ilya Lyubushkin,D,D,RUS,275.0,16.382727272727273,14.164666666666667,0.0134545454545454,2.2046060606060607,0.053,0.546,2.291,6.632,5.687,0.0,14.164666666666667,0.0134545454545454,2.2046060606060607,0.607,3,47.04,0.115,74.0,206.0,26.45,0,Defensive Defenseman
Ivan Provorov,D,D,RUS,328.0,23.316666666666663,19.45,1.0875,2.779166666666667,0.212,0.753,3.766,4.535,1.718,0.133,19.45,1.0875,2.779166666666667,0.326,1,47.75,0.171,73.0,224.0,29.55,0,Defensive Defenseman
J.J. Moser,D,D,CHE,295.0,20.63344632768361,17.29242937853107,0.9085875706214688,2.432429378531073,0.207,0.779,3.243,4.041,2.701,0.158,17.29242937853107,0.9085875706214688,2.432429378531073,0.546,5,51.49,0.193,74.0,183.0,23.49,0,Defensive Defenseman
Jake McCabe,D,D,USA,295.0,20.996949152542378,18.392429378531077,0.2389265536723163,2.365593220338983,0.174,0.804,3.1,5.86,5.851,0.019,18.392429378531077,0.2389265536723163,2.365593220338983,0.732,8,49.75,0.132,73.0,210.0,27.7,0,Defensive Defenseman
Jamie Oleksiak,D,D,CAN,317.0,18.62939011566772,16.071451104100944,0.0290746582544689,2.528864353312303,0.203,0.528,3.322,5.659,4.288,0.0,16.071451104100944,0.0290746582544689,2.528864353312303,0.565,8,47.63,0.173,79.0,252.0,28.39,0,Defensive Defenseman
Jeff Petry,D,D,USA,245.0,18.57503401360544,16.22748299319728,0.8625850340136053,1.484965986394558,0.119,0.831,3.744,5.102,6.025,0.158,16.22748299319728,0.8625850340136053,1.484965986394558,0.42,1,48.94,0.142,75.0,208.0,26.0,0,Defensive Defenseman
Joel Edmundson,D,D,CAN,269.0,18.91542750929368,16.454708798017347,0.0721189591078066,2.3885997521685254,0.13,0.601,3.655,5.106,4.587,0.047,16.454708798017347,0.0721189591078066,2.3885997521685254,0.476,4,49.86,0.192,77.0,220.0,26.09,0,Defensive Defenseman
John Marino,D,D,USA,254.0,20.754068241469813,18.166797900262463,0.1646981627296588,2.4225721784776906,0.148,0.911,2.367,3.232,1.366,0.0,18.166797900262463,0.1646981627296588,2.4225721784776906,0.311,1,52.32,0.138,73.0,200.0,26.38,0,Defensive Defenseman
Johnathan Kovacevic,D,D,CAN,254.0,18.00183727034121,15.811417322834645,0.0401574803149605,2.150262467191601,0.131,0.564,3.202,4.028,4.291,0.0,15.811417322834645,0.0401574803149605,2.150262467191601,0.752,9,50.06,0.161,77.0,223.0,26.44,0,Defensive Defenseman
Jonas Brodin,D,D,SWE,234.0,22.307834757834755,19.541310541310537,0.337037037037037,2.4294871794871797,0.207,0.701,4.069,5.77,1.241,0.023,19.541310541310537,0.337037037037037,2.4294871794871797,0.342,0,52.82,0.159,74.0,196.0,25.16,0,Defensive Defenseman
Jonas Siegenthaler,D,D,CHE,274.0,19.650182481751823,17.63947688564477,0.056265206812652,1.954440389294404,0.078,0.535,2.886,5.293,3.956,0.011,17.63947688564477,0.056265206812652,1.954440389294404,0.569,2,50.8,0.142,74.0,218.0,27.99,0,Defensive Defenseman
Jonathan Aspirot,D,D,CAN,61.0,16.71666666666667,15.6,0.0166666666666666,1.1,0.177,0.588,2.765,4.884,5.06,0.059,15.6,0.0166666666666666,1.1,0.705,3,50.36,0.16,72.0,212.0,28.75,0,Defensive Defenseman
Kevin Bahl,D,D,CAN,273.0,19.18498168498169,17.016300366300364,0.1114774114774114,2.057203907203907,0.115,0.538,2.623,4.078,5.018,0.023,17.016300366300364,0.1114774114774114,2.057203907203907,0.729,6,47.68,0.108,78.0,230.0,26.58,0,Defensive Defenseman
Marcus Pettersson,D,D,SWE,310.0,21.61494623655914,19.021505376344088,0.1626881720430107,2.430752688172043,0.107,0.797,3.027,5.104,3.698,0.0,19.021505376344088,0.1626881720430107,2.430752688172043,0.668,7,50.47,0.123,77.0,174.0,20.63,0,Defensive Defenseman
Mario Ferraro,D,D,CAN,310.0,21.693548387096776,18.412365591397847,0.2577419354838709,3.0234408602150538,0.17,0.473,3.239,5.487,4.818,0.009,18.412365591397847,0.2577419354838709,3.0234408602150538,0.477,4,45.31,0.177,71.0,200.0,27.89,0,Defensive Defenseman
Matt Grzelcyk,D,D,USA,289.0,18.18817762399077,16.771395617070358,0.926874279123414,0.4899077277970011,0.08,0.936,3.687,3.527,1.998,0.205,16.771395617070358,0.926874279123414,0.4899077277970011,0.391,1,46.67,0.114,70.0,180.0,25.82,0,Defensive Defenseman
Matt Roy,D,D,USA,311.0,20.011093247588427,17.588906752411578,0.1121114683815648,2.310075026795284,0.183,0.723,4.319,5.871,4.83,0.01,17.588906752411578,0.1121114683815648,2.310075026795284,0.325,1,51.96,0.208,74.0,220.0,28.24,0,Defensive Defenseman
Mattias Samuelsson,D,D,USA,236.0,21.319420903954803,18.466313559322035,0.0378531073446327,2.8152542372881357,0.239,0.62,3.351,5.068,5.366,0.012,18.466313559322035,0.0378531073446327,2.8152542372881357,0.407,0,48.88,0.153,76.0,229.0,27.87,0,Defensive Defenseman
Nick Jensen,D,D,USA,287.0,19.45551684088269,17.286120789779325,0.0905342624854819,2.078861788617886,0.14,0.731,3.148,4.427,2.815,0.0,17.286120789779325,0.0905342624854819,2.078861788617886,0.195,0,47.6,0.14,72.0,202.0,27.39,0,Defensive Defenseman
Nicolas Hague,D,D,CAN,284.0,18.257335680751176,16.90111502347418,0.0413732394366196,1.3148474178403755,0.15,0.498,3.911,4.305,4.953,0.0,16.90111502347418,0.0413732394366196,1.3148474178403755,0.637,13,49.38,0.16,78.0,245.0,28.31,0,Defensive Defenseman
Niko Mikkola,D,D,FIN,307.0,19.429370249728557,17.26655808903366,0.0764386536373507,2.086373507057546,0.131,0.433,3.41,4.014,6.056,0.0,17.26655808903366,0.0764386536373507,2.086373507057546,0.795,5,52.42,0.186,78.0,204.0,23.57,0,Defensive Defenseman
Olli MÃ¤Ã¤ttÃ¤,D,D,FIN,270.0,17.97574074074074,16.58351851851852,0.0429012345679012,1.3493209876543208,0.173,0.742,2.683,5.069,1.966,0.0,16.58351851851852,0.0429012345679012,1.3493209876543208,0.178,0,50.92,0.156,74.0,207.0,26.57,0,Defensive Defenseman
Ryan Graves,D,D,CAN,231.0,17.704184704184705,15.80858585858586,0.0168831168831168,1.8787157287157288,0.191,0.469,4.079,5.942,3.712,0.0,15.80858585858586,0.0168831168831168,1.8787157287157288,0.42,1,50.6,0.129,77.0,225.0,26.68,0,Defensive Defenseman
Ryan Lindgren,D,D,USA,287.0,19.034320557491288,16.550522648083625,0.0213124274099883,2.4624854819976774,0.11,0.615,2.845,4.844,3.394,0.0,16.550522648083625,0.0213124274099883,2.4624854819976774,0.631,3,45.41,0.136,72.0,194.0,26.31,0,Defensive Defenseman
Ryan McDonagh,D,D,USA,275.0,20.83321212121212,17.586181818181817,0.3769696969696969,2.870060606060606,0.157,0.932,2.995,5.572,1.498,0.052,17.586181818181817,0.3769696969696969,2.870060606060606,0.295,0,54.9,0.148,73.0,216.0,28.49,0,Defensive Defenseman
Ryan Pulock,D,D,CAN,290.0,21.233908045977007,18.28264367816092,0.8118390804597702,2.139425287356322,0.175,0.75,3.956,5.642,3.781,0.136,18.28264367816092,0.8118390804597702,2.139425287356322,0.2,0,47.27,0.131,73.0,219.0,28.89,0,Defensive Defenseman
Ryan Suter,D,D,USA,246.0,19.566666666666663,17.400000000000002,0.5888888888888889,1.5777777777777775,0.087,0.623,3.191,4.176,2.568,0.05,17.400000000000002,0.5888888888888889,1.5777777777777775,0.317,0,49.79,0.139,73.0,201.0,26.52,0,Defensive Defenseman
Ryker Evans,D,D,CAN,176.0,18.760511363636365,17.13191287878788,0.8157196969696969,0.8128787878787879,0.254,0.672,2.708,3.98,4.234,0.164,17.13191287878788,0.8157196969696969,0.8128787878787879,0.511,0,47.93,0.115,72.0,195.0,26.44,0,Defensive Defenseman
Sam Dickinson,D,D,CAN,72.0,16.733333333333334,15.533333333333331,0.3,0.8999999999999999,0.05,0.647,3.586,3.486,3.685,0.0,15.533333333333331,0.3,0.8999999999999999,0.306,0,47.65,0.217,75.0,200.0,25.0,0,Defensive Defenseman
Samuel Girard,D,D,CAN,268.0,20.06610696517413,17.94570895522388,0.7257462686567164,1.3946517412935322,0.167,0.926,3.66,4.284,2.522,0.112,17.94570895522388,0.7257462686567164,1.3946517412935322,0.235,1,53.07,0.151,70.0,170.0,24.39,0,Defensive Defenseman
Scott Mayfield,D,D,USA,269.0,18.31926889714994,16.21177199504337,0.0217472118959107,2.0857496902106565,0.134,0.511,3.373,5.613,4.152,0.0,16.21177199504337,0.0217472118959107,2.0857496902106565,0.848,6,46.36,0.136,76.0,215.0,26.17,0,Defensive Defenseman
Timothy Liljegren,D,D,SWE,237.0,19.04908579465541,16.705414908579463,1.1220112517580871,1.221659634317862,0.213,0.704,3.814,5.449,4.0,0.186,16.705414908579463,1.1220112517580871,1.221659634317862,0.477,1,50.2,0.167,73.0,200.0,26.38,0,Defensive Defenseman
Tom Willander,D,D,SWE,70.0,16.966666666666665,15.316666666666668,1.1833333333333331,0.4666666666666666,0.253,0.808,2.981,3.94,1.768,0.152,15.316666666666668,1.1833333333333331,0.4666666666666666,0.4,0,40.1,0.124,73.0,180.0,23.75,0,Defensive Defenseman
