Name,Pos,Nationality,GP,Possible_GP,Qualify_Pct,TOI_GP,ES_TOI_GP,PP_TOI_GP,SH_TOI_GP,G_60,A_60,PTS_60,SOG_60,BLK_60,HIT_60,PP_PTS_60,PIM_GP,PlusMinus_GP,Height_in,Weight_lbs,BMI,Fights,CF_pct_5v5,xGF_pct_5v5,ixG_60_5v5
A.J. Greer,LW,CAN,279.0,328,0.8506,10.100477897252091,9.644086021505375,0.08900836320191154,0.3673835125448029,0.724,0.83,1.554,6.664,2.299,13.328,0.043,1.405,0.072,75.0,209.0,26.12,24,52.84,51.84,0.784
Aaron Ekblad,D,CAN,250.0,328,0.7622,22.612,17.403666666666663,2.438,2.770333333333333,0.265,0.955,1.221,5.487,3.248,3.566,0.414,0.904,0.076,76.0,220.0,26.78,2,55.12,53.07,0.18
Adam Fantilli,C,CAN,213.0,246,0.8659,17.599217527386543,15.30946791862285,2.125508607198748,0.1642410015649452,1.072,1.168,2.241,8.323,2.113,5.042,0.32,0.338,-0.141,74.0,205.0,26.32,2,48.86,47.37,0.705
Adam Fox,D,USA,283.0,328,0.8628,23.67479387514723,18.659246171967016,3.336395759717314,1.6791519434628974,0.43,1.89,2.319,4.675,3.851,1.191,0.931,0.431,0.223,71.0,185.0,25.8,0,55.07,55.1,0.243
Adam Henrique,C,CAN,290.0,328,0.8841,15.688620689655174,12.297586206896552,1.4495402298850573,1.941494252873563,0.804,0.923,1.728,6.159,3.745,2.888,0.382,0.321,-0.031,72.0,195.0,26.44,1,47.53,48.26,0.707
Adam Larsson,D,SWE,327.0,328,0.997,22.25632008154944,19.41539245667686,0.12064220183486235,2.7202854230377165,0.214,0.643,0.857,4.048,5.243,4.93,0.0,0.535,0.168,75.0,207.0,25.87,3,48.45,46.31,0.17
Adam Lowry,LW,USA,306.0,328,0.9329,15.527777777777779,12.973747276688455,0.5124727668845316,2.0415577342047926,0.581,1.01,1.591,5.24,2.765,7.981,0.051,0.539,0.108,77.0,210.0,24.9,22,51.87,54.13,0.877
Adam Pelech,D,CAN,261.0,328,0.7957,20.95338441890166,18.47190293742018,0.1184546615581098,2.3630268199233715,0.121,0.691,0.812,4.378,4.74,3.072,0.011,0.556,0.08,75.0,212.0,26.5,1,52.92,52.3,0.21
Adrian Kempe,LW,SWE,321.0,328,0.9787,19.016978193146418,14.794340602284528,2.9479231568016613,1.2747144340602283,1.376,1.455,2.831,9.426,1.366,4.502,0.757,0.688,0.221,74.0,205.0,26.32,1,52.32,50.95,0.788
Albert Johansson,D,SWE,143.0,164,0.872,16.103962703962704,15.023193473193473,0.13601398601398604,0.9447552447552447,0.156,0.365,0.521,2.84,4.586,3.283,0.0,0.322,-0.203,72.0,195.0,26.44,0,47.21,46.38,0.127
Alex DeBrincat,RW,USA,328.0,328,1.0,18.291666666666664,14.958333333333332,3.308333333333333,0.02499999999999995,1.34,1.54,2.88,10.311,1.5,2.46,1.01,0.387,-0.107,68.0,180.0,27.37,5,50.07,50.35,0.818
Alex Iafallo,C,USA,302.0,328,0.9207,15.005242825607063,12.044315673289184,1.465673289183223,1.495253863134658,0.702,0.927,1.629,6.302,2.873,3.217,0.371,0.182,0.172,72.0,201.0,27.26,1,49.95,49.85,0.654
Alex Killorn,C,CAN,309.0,328,0.9421,17.381984897518876,13.56321467098166,1.9427723840345197,1.8759978425026966,0.883,1.017,1.899,6.367,1.218,3.128,0.302,0.547,0.042,73.0,205.0,27.04,1,51.37,50.48,0.672
Alex Laferriere,RW,USA,240.0,246,0.9756,16.000902777777778,14.069930555555553,1.3233333333333333,0.6076388888888888,0.812,0.891,1.703,8.578,1.859,7.687,0.187,0.35,0.046,73.0,205.0,27.04,2,53.24,52.99,0.913
Alex Newhook,C,CAN,261.0,328,0.7957,15.008173690932313,13.107407407407406,1.7313537675606643,0.16941251596424003,0.873,0.888,1.761,5.821,1.624,3.569,0.26,0.284,-0.088,71.0,200.0,27.89,0,45.22,45.81,0.685
Alex Ovechkin,LW,RUS,299.0,328,0.9116,18.62948717948718,14.139464882943146,4.477759197324414,0.01226309921962091,1.605,1.379,2.984,11.278,0.851,6.398,1.013,0.361,-0.094,75.0,238.0,29.74,0,48.97,47.58,0.889
